"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"finish","complete.v.01","come or bring to a finish or an end; others finished in over 4 hours""","verb.change","['finish', 'finished', 'completed', 'finishing', 'finishes', 'completes', 'completing']",9528
"sell","sell.v.01","exchange or deliver for money or its equivalent","verb.possession","['sell', 'sold', 'selling', 'sells']",9425
"expect","expect.v.01","regard something as probable or likely","verb.cognition","['expect', 'expecting', 'expected', 'expects', 'anticipate', 'anticipated', 'anticipating', 'anticipates']",9282
"drop","drop.v.01","let fall to the ground","verb.motion","['drop', 'dropped', 'dropping', 'drops']",9175
"wonder","wonder.v.01","have a wish or desire to know something","verb.cognition","['wonder', 'wondering', 'wondered']",8415
"notice","detect.v.01","discover or determine the existence, presence, or fact of","verb.perception","['notice', 'noticed', 'discovered', 'discover', 'observe', 'detect', 'noticing', 'observed', 'detected', 'observing', 'discovering', 'discovers', 'notices', 'detecting', 'detects', 'observes']",8280
"pass","pass.v.01","go across or through","verb.motion","['pass', 'passed', 'passing', 'passes']",8049
"missed","miss.v.01","fail to perceive or to catch with the senses or the mind","verb.perception","['missed', 'missing', 'misses']",8024
"stole","steal.v.01","take without the owner's consent","verb.possession","['stole', 'steal', 'stolen', 'stealing', 'steals']",8010
"blow","blow.v.01","exhale hard","verb.body","['blow', 'blew', 'blowing', 'blown', 'blows']",7989
"liked","wish.v.02","prefer or wish to do something","verb.emotion","['liked', 'likes', 'liking']",7888
"fall","fall.v.01","descend in free fall under the influence of gravity","verb.motion","['fall', 'falling', 'falls', 'fallen']",7883
"beat","beat.v.01","come out better in a competition, race, or conflict","verb.competition","['beat', 'beating', 'beats', 'beaten', 'vanquish', 'vanquishes']",7877
"sing","sing.v.01","deliver by singing","verb.creation","['sing', 'singing', 'sang', 'sings', 'sung']",7788
"bet","bet.v.01","maintain with or as if with a bet","verb.communication","['bet', 'betting', 'betted']",7781
"decided","decide.v.01","reach, make, or come to a decision about something","verb.cognition","['decided', 'decide', 'decides', 'deciding']",7643
"hurry","travel_rapidly.v.01","move very fast","verb.motion","['hurry', 'hurrying', 'hurried', 'hurries']",7632
"stick","lodge.v.02","put, fix, force, or implant","verb.contact","['stick', 'stuck', 'sticking', 'deposited', 'wedged', 'depositing', 'wedging', 'sticked']",7547
"touch","touch.v.01","make physical contact with, come in contact with","verb.contact","['touch', 'touched', 'touching', 'touches']",7524
"grow","turn.v.07","pass into a condition gradually, take on a specific property or attribute; become","verb.change","['grow', 'grew', 'growing', 'grown', 'grows', 'growed']",7295
"teach","teach.v.01","impart skills or knowledge to","verb.communication","['teach', 'taught', 'teaching', 'teaches', 'instructed', 'instruct', 'instructing', 'teached', 'instructs']",7273
"wake","wake.v.01","be awake, be alert, be there","verb.body","['wake', 'woke', 'waking', 'wakes', 'woken', 'waked']",7244
"hide","hide.v.01","prevent from being seen or discovered","verb.perception","['hide', 'hiding', 'hidden', 'hid', 'hides', 'conceal', 'concealed', 'concealing', 'conceals']",7140
"explain","explain.v.01","make plain and comprehensible","verb.communication","['explain', 'explained', 'explains', 'explaining', 'explicating']",7043
"fix","repair.v.01","restore by replacing a part or putting together what is torn or broken","verb.change","['fix', 'fixed', 'fixing', 'repair', 'repaired', 'mend', 'fixes', 'mended', 'repairing', 'mending', 'mends']",6596
"marry","marry.v.01","take in marriage","verb.social","['marry', 'marrying', 'wed', 'marries', 'weds']",6430
"suppose","suppose.v.01","express a supposition","verb.communication","['suppose', 'supposes']",6420
"enjoy","enjoy.v.01","derive or receive pleasure from; get enjoyment from; take pleasure in","verb.emotion","['enjoy', 'enjoyed', 'enjoying', 'enjoys', 'relish', 'savor', 'bask', 'basking', 'savoring', 'relished', 'relishing', 'savored', 'relishes', 'basked', 'savors']",6349
"laughing","laugh.v.01","produce laughter","verb.body","['laughing', 'laugh', 'laughs', 'laughed']",6295
"kiss","snog.v.01","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.","verb.contact","['kiss', 'kissed', 'kissing', 'bussing', 'bussed', 'snogging', 'snogged']",6233
"handle","manage.v.02","be in charge of, act on, or dispose of","verb.social","['handle', 'handled', 'handling', 'handles']",6226
"kidding","pull_the_leg_of.v.01","tell false information to for fun","verb.communication","['kidding', 'kidded']",6169
"dance","dance.v.01","move in a graceful and rhythmical way","verb.motion","['dance', 'dancing', 'danced']",6157
"carry","transport.v.02","move while supporting, either in a vehicle or in one's hands or on one's body","verb.contact","['carry', 'carrying', 'carried', 'carries']",6151
"answer","answer.v.01","react verbally","verb.communication","['answer', 'answered', 'answering', 'replied', 'replying']",6134
"realize","recognize.v.02","be fully aware or cognizant of","verb.cognition","['realize', 'realized', 'realizes', 'realizing']",6132
"felt","felt.v.01","mat together and make felt-like","verb.contact","['felt']",6084
"jump","jump.v.01","move forward by leaps and bounds","verb.motion","['jump', 'jumped', 'bound', 'jumping', 'jumps', 'sprung', 'leaping', 'leapt', 'springing', 'leaps', 'sprang', 'leaped', 'bounded']",6047
"fly","fly.v.01","travel through the air; be airborne","verb.motion","['fly', 'flying', 'flew', 'flown', 'winging']",6017
"welcome","welcome.v.01","accept gladly","verb.possession","['welcome', 'welcomed', 'welcomes']",5963
"swear","curse.v.01","utter obscenities or profanities","verb.communication","['swear', 'swore', 'sworn', 'cursed', 'swears', 'cursing', 'swearing', 'cussing', 'cussed', 'blasphemed', 'blaspheming']",5934
"mention","mention.v.01","make reference to","verb.communication","['mention', 'mentioned', 'refer', 'referring', 'referred', 'mentioning', 'refers', 'mentions', 'cite', 'cited', 'citing', 'cites', 'refered']",5785
"quit","discontinue.v.01","put an end to a state or an activity","verb.stative","['quit', 'cease', 'quitting', 'quits', 'ceased', 'ceases', 'discontinue', 'discontinued', 'quitted', 'ceasing', 'discontinuing', 'quiting', 'discontinues']",5757
"join","join.v.01","become part of; become a member of a group or organization","verb.social","['join', 'joined', 'joining', 'joins']",5750
"act","act.v.01","perform an action, or work out or perform (an action)","verb.social","['act', 'acting', 'acted']",5694
"sign","sign.v.01","mark with one's signature; write one's name (on)","verb.communication","['sign', 'signed', 'signing']",5653
"kick","kick.v.01","drive or propel with the foot","verb.contact","['kick', 'kicked', 'kicking', 'kicks']",5637
"agree","agree.v.01","be in accord; be in agreement","verb.communication","['agree', 'agreed', 'agrees', 'agreeing', 'concur', 'concurs', 'concurred']",5523
"return","return.v.01","go or come back to place, condition, or activity where one has been before","verb.motion","['return', 'returned', 'returning', 'returns']",5484
"push","push.v.01","move with force, ""He pushed the table into a corner""","verb.motion","['push', 'pushed', 'pushing', 'pushes']",5445
"cover","cover.v.01","provide with a covering or cause to be covered","verb.contact","['cover', 'covered', 'covering']",5225
"burn","burn.v.01","destroy by fire","verb.change","['burn', 'burned', 'burning', 'burnt']",5136
"bother","trouble_oneself.v.01","take the trouble to do something; concern oneself","verb.social","['bother', 'bothering', 'bothered', 'bothers']",5102
"lead","lead.v.01","take somebody somewhere","verb.motion","['lead', 'led', 'leads', 'leading']",5057
"prove","prove.v.01","be shown or be found to be","verb.stative","['prove', 'proved', 'proves', 'proven', 'proving']",5017
"protect","protect.v.01","shield from danger, injury, destruction, or damage","verb.competition","['protect', 'protecting', 'protected', 'protects']",4993
"relax","relax.v.01","become less tense, rest, or take one's ease","verb.body","['relax', 'relaxes']",4962
"smell","smell.v.01","inhale the odor of; perceive by the olfactory sense","verb.perception","['smell', 'smells', 'smelled', 'smelling']",4943
"choose","choose.v.01","pick out, select, or choose from a number of alternatives","verb.cognition","['choose', 'chose', 'chosen', 'choosing', 'selected', 'chooses', 'select', 'selecting', 'selects']",4934
"imagine","imagine.v.01","form a mental image of something that is not present or that is not the case","verb.creation","['imagine', 'imagined', 'imagining', 'imagines', 'envisaged', 'envisage', 'envisaging']",4880
"appreciate","appreciate.v.01","recognize with gratitude; be grateful for","verb.emotion","['appreciate', 'appreciated', 'appreciates', 'appreciating']",4861
"build","construct.v.01","make by combining materials and parts","verb.creation","['build', 'built', 'builds', 'constructed', 'construct', 'constructing', 'builded']",4806
"step","step.v.01","shift or move by taking a step","verb.motion","['step', 'stepped', 'stepping']",4753
"count","count.v.01","determine the number or amount of","verb.communication","['count', 'counting', 'counts', 'counted']",4682
"knock","knock.v.01","deliver a sharp blow or push :""He knocked the glass clear across the room""","verb.contact","['knock', 'knocked', 'knocking']",4681
"owe","owe.v.01","be obliged to pay or repay","verb.possession","['owe', 'owes', 'owed', 'owing']",4661
"reach","reach.v.01","reach a destination, either real or abstract","verb.motion","['reach', 'reached', 'reaching', 'reaches']",4551
"grab","catch.v.04","take hold of so as to seize or restrain or stop the motion of","verb.contact","['grab', 'grabbed', 'grabbing', 'grabs']",4492
"suggest","propose.v.01","make a proposal, declare a plan for something","verb.communication","['suggest', 'propose', 'suggesting', 'suggested', 'proposed', 'suggests', 'proposing', 'proposes']",4486
"destroy","destroy.v.01","do away with, cause the destruction or undoing of","verb.creation","['destroy', 'destroyed', 'destroying', 'destroys']",4483
"born","bear.v.01","have","verb.stative","['born', 'bearing', 'borne', 'beared']",4459
"forgive","forgive.v.01","stop blaming or grant forgiveness","verb.communication","['forgive', 'forgiven', 'forgave', 'forgives']",4412
"locked","lock.v.01","fasten with a lock","verb.contact","['locked', 'lock', 'locking']",4404
"raise","raise.v.01","raise the level or amount of something","verb.change","['raise', 'raised', 'raising', 'raises']",4356
"consider","see.v.05","deem to be","verb.cognition","['consider', 'considered', 'regards', 'regarded', 'considers', 'viewed']",4324
"belong","belong.v.01","be owned by; be in the possession of","verb.possession","['belong', 'belongs', 'belonged', 'belonging']",4293
"admit","admit.v.01","declare to be true or admit the existence or reality or truth of","verb.communication","['admit', 'admitted', 'acknowledge', 'admitting', 'admits', 'acknowledged', 'acknowledging', 'acknowledges']",4135
"treat","treat.v.01","interact in a certain way","verb.social","['treat', 'treated', 'treating', 'treats']",4097
"fill","fill.v.01","make full, also in a metaphorical sense","verb.change","['fill', 'filled', 'filling', 'fills']",4036
"offer","offer.v.01","make available or accessible, provide or furnish","verb.possession","['offer', 'offered', 'offering']",4032
"continue","continue.v.01","continue a certain state, condition, or activity","verb.stative","['continue', 'continues', 'continued', 'continuing']",4003
"invited","invite.v.01","increase the likelihood of","verb.emotion","['invited', 'invite', 'inviting', 'invites']",3909
"prepare","fix.v.12","make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","verb.change","['prepare', 'prepared', 'preparing', 'prepares']",3885
"suck","suck.v.01","draw into the mouth by creating a practical vacuum in the mouth","verb.consumption","['suck', 'sucks', 'sucked', 'sucking']",3779
"serve","serve.v.01","serve a purpose, role, or function","verb.stative","['serve', 'served', 'serving', 'serves']",3766
"arrived","arrive.v.01","reach a destination; arrive by movement or progress","verb.motion","['arrived', 'arrive', 'arrives', 'arriving']",3750
"accept","accept.v.01","consider or hold as true","verb.cognition","['accept', 'accepted', 'accepting', 'accepts']",3728
"beg","beg.v.01","call upon in supplication; entreat","verb.communication","['beg', 'begging', 'begged', 'begs', 'implore', 'implored', 'imploring']",3725
"share","share.v.01","have in common","verb.stative","['share', 'sharing', 'shared']",3688
"fired","open_fire.v.01","start firing a weapon","verb.competition","['fired', 'firing']",3606
