"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"touring","tour.v.01","make a tour of a certain place","verb.motion","['touring', 'toured']",95
"attributed","impute.v.01","attribute or credit to","verb.cognition","['attributed', 'attribute', 'ascribe', 'attributing', 'ascribed', 'imputed', 'ascribing', 'impute', 'imputes']",95
"nicknamed","dub.v.01","give a nickname to","verb.communication","['nicknamed', 'dub', 'dubbed', 'dubbing', 'nicknaming']",95
"distort","falsify.v.01","make false by mutilation or addition; as of a message or story","verb.communication","['distort', 'falsified', 'falsifying', 'distorting', 'falsify', 'distorts', 'warping', 'warps', 'falsifies', 'garbles', 'garbling']",95
"complicate","complicate.v.01","make more complicated","verb.change","['complicate', 'complicates']",94
"labeled","label.v.01","assign a label to; designate with a label","verb.communication","['labeled', 'labelled', 'labeling', 'labelling']",94
"towed","tow.v.01","drag behind","verb.contact","['towed', 'towing']",94
"powered","power.v.01","supply the force or power for the functioning of","verb.consumption","['powered', 'powering']",94
"quarreled","quarrel.v.01","have a disagreement over something","verb.communication","['quarreled', 'quarreling', 'quarrelling', 'quarrelled', 'argufying']",94
"stacked","stack.v.01","load or cover with stacks","verb.contact","['stacked']",93
"shorten","shorten.v.01","make shorter than originally intended; reduce or retrench in length or duration","verb.change","['shorten', 'shortened', 'shortening', 'shortens']",93
"beheaded","decapitate.v.01","cut the head of","verb.contact","['beheaded', 'decapitated', 'decapitate', 'beheading', 'decapitates', 'decapitating']",93
"subjected","subject.v.01","cause to experience or suffer or make liable or vulnerable to","verb.perception","['subjected', 'subjecting']",92
"whooping","whoop.v.01","shout, as if with joy or enthusiasm","verb.communication","['whooping', 'whooped']",92
"lecturing","lecture.v.01","deliver a lecture or talk","verb.communication","['lecturing', 'lectured']",92
"laced","intertwine.v.01","spin,wind, or twist together","verb.contact","['laced', 'intertwined', 'intertwine', 'lacing', 'interlaced', 'interlace', 'twined']",92
"undertake","undertake.v.01","enter upon an activity or enterprise","verb.creation","['undertake', 'undertaken', 'undertook']",92
"cultivate","cultivate.v.01","foster the growth of","verb.creation","['cultivate', 'cultivated', 'cultivating', 'cultivates']",92
"dazzle","dazzle.v.01","to cause someone to lose clear vision, especially from intense light","verb.perception","['dazzle', 'dazzled', 'dazed', 'dazzles']",92
"simmer","simmer.v.01","boil slowly at low temperature","verb.change","['simmer', 'simmered', 'simmers']",91
"brighten","brighten.v.01","make lighter or brighter","verb.change","['brighten', 'brightens', 'brightened', 'brightening']",91
"persist","prevail.v.03","continue to exist","verb.stative","['persist', 'persists', 'persisted', 'persisting']",91
"exterminate","exterminate.v.01","kill en masse; kill on a large scale; kill many","verb.contact","['exterminate', 'exterminated', 'exterminating', 'exterminates']",91
"resurrected","resurrect.v.01","cause to become alive again","verb.body","['resurrected', 'resurrect', 'resurrecting', 'upraised']",91
"mush","mush.v.01","drive (a team of dogs or a dogsled)","verb.motion","['mush', 'mushing', 'mushed']",90
"skimming","plane.v.02","travel on the surface of water","verb.motion","['skimming', 'skim', 'skimmed', 'skims']",90
"enlarge","enlarge.v.01","make larger","verb.change","['enlarge', 'enlarged', 'enlarging', 'enlarges']",90
"strained","strive.v.02","to exert much effort or energy","verb.competition","['strained', 'straining']",90
"denounce","denounce.v.01","speak out against","verb.communication","['denounce', 'denounced', 'denouncing', 'denounces']",90
"snorting","snort.v.01","indicate contempt by breathing noisily and forcefully through the nose","verb.communication","['snorting', 'snorts', 'snorted']",90
"convene","convene.v.01","meet formally","verb.motion","['convene', 'convened', 'convening', 'convenes']",90
"yawning","yawn.v.01","utter a yawn, as from lack of oxygen or when one is tired","verb.body","['yawning', 'yawn', 'yawns', 'yawned']",90
"aged","age.v.01","begin to seem older; get older","verb.change","['aged']",89
"refrain","refrain.v.01","resist doing something","verb.stative","['refrain', 'refrained', 'refraining']",89
"dissect","dissect.v.01","cut open or cut apart","verb.contact","['dissect', 'dissected', 'dissecting', 'dissects']",89
"demolished","demolish.v.01","destroy completely","verb.creation","['demolished', 'demolish', 'demolishing', 'pulverise', 'demolishes', 'pulverised']",89
"subdue","repress.v.01","put down by force or intimidation","verb.social","['subdue', 'repress', 'quash', 'repressing', 'subjugated', 'quashed', 'subduing', 'represses', 'subjugate', 'subjugates']",89
"err","err.v.01","to make a mistake or be incorrect","verb.cognition","['err', 'erred', 'errs', 'erring']",88
"spooked","spook.v.01","frighten or scare, and often provoke into a violent action","verb.emotion","['spooked', 'spooking']",88
"fouled","foul.v.01","hit a foul ball","verb.competition","['fouled', 'fouling']",88
"hatched","hatch.v.01","emerge from the eggs","verb.body","['hatched', 'hatching']",88
"misjudged","misjudge.v.01","judge incorrectly","verb.cognition","['misjudged', 'misjudge', 'misjudging']",88
"hitched","hitch.v.01","to hook or entangle","verb.contact","['hitched', 'hitching']",88
"scarred","scar.v.01","mark with a scar","verb.contact","['scarred', 'scarring']",88
"nibble","nibble.v.01","bite off very small pieces","verb.contact","['nibble', 'nibbling', 'nibbled']",88
"limping","limp.v.01","walk impeded by some physical limitation or injury","verb.motion","['limping', 'hobble', 'hobbling', 'hobbled', 'limped', 'hobbles', 'gimped', 'gimping']",88
"vowed","vow.v.01","make a vow; promise","verb.communication","['vowed', 'vowing']",87
"bullshitting","talk_through_one's_hat.v.01","speak insincerely or without regard for facts or truths","verb.communication","['bullshitting', 'bullshitted']",87
"dismount","unhorse.v.01","alight from (a horse)","verb.motion","['dismount', 'dismounted', 'unhorse', 'dismounting', 'dismounts']",87
"debating","debate.v.01","argue with one another","verb.cognition","['debating', 'debated']",87
"branded","brand.v.01","burn with a branding iron to indicate ownership; of animals","verb.social","['branded', 'branding']",87
"electrocuted","electrocute.v.01","kill by electric shock","verb.social","['electrocuted', 'electrocute', 'electrocuting']",87
"flaunt","flaunt.v.01","display proudly; act ostentatiously or pretentiously","verb.perception","['flaunt', 'flaunting', 'flaunted', 'flaunts', 'swanked']",87
"misled","mislead.v.01","lead someone in the wrong direction or give someone wrong directions","verb.motion","['misled', 'mislead', 'misguide']",87
"fueled","fuel.v.01","provide with a combustible substance that provides energy","verb.possession","['fueled', 'fueling', 'fuelled', 'fuelling']",87
"implement","implement.v.01","apply in a manner consistent with its purpose or design","verb.social","['implement', 'implementing', 'implemented']",87
"bowing","bow.v.01","bend one's knee or body, or lower one's head","verb.communication","['bowing', 'bowed']",86
"illustrate","exemplify.v.02","clarify by giving an example of","verb.communication","['illustrate', 'illustrated', 'illustrates', 'illustrating']",86
"signify","mean.v.03","denote or connote","verb.communication","['signify', 'signifying', 'signifies', 'signified']",86
"blabbering","chatter.v.04","speak (about unimportant matters) rapidly and incessantly","verb.communication","['blabbering', 'gibbering', 'prattling', 'piffle', 'tattle', 'blabber', 'gibbers', 'prattles', 'tattled', 'tattling', 'gabbling', 'gibber', 'prating', 'palavering', 'piffling', 'twaddles']",86
"typed","type.v.01","write by means of a keyboard with types","verb.communication","['typed']",85
"regroup","reorganize.v.02","organize anew, as after a setback","verb.social","['regroup', 'regrouping', 'regrouped', 'reorganise', 'reorganising']",85
"reconstruct","reconstruct.v.01","reassemble mentally","verb.cognition","['reconstruct', 'reconstructed', 'reconstructing']",85
"snuff","snuff.v.01","sniff or smell inquiringly","verb.perception","['snuff', 'snuffed', 'snuffs', 'snuffles', 'snuffing', 'snuffling']",85
"liquidate","neutralize.v.04","get rid of (someone who may be a threat) by killing","verb.contact","['liquidate', 'liquidated', 'neutralised', 'neutralise', 'liquidating', 'liquidates', 'neutralises', 'neutralising']",85
"flapping","roll.v.11","move in a wavy pattern or with a rising and falling motion","verb.motion","['flapping', 'flapped']",84
"muster","muster.v.01","gather or bring together","verb.contact","['muster', 'mustered', 'mustering', 'musters']",84
"peeping","peep.v.01","look furtively","verb.perception","['peeping', 'peeped']",84
"tinker","putter.v.02","do random, unplanned work or activities or spend time idly","verb.contact","['tinker', 'tinkering', 'tinkered']",84
"scouting","scout.v.01","explore, often with the goal of finding something or somebody","verb.perception","['scouting', 'scouted', 'reconnoitre', 'reconnoitered', 'reconnoitering', 'reconnoitring']",84
"insinuating","insinuate.v.01","introduce or insert (oneself) in a subtle manner","verb.motion","['insinuating', 'insinuate', 'insinuated', 'insinuates']",84
"aligned","align.v.01","place in a line or arrange so as to be parallel or straight","verb.change","['aligned', 'align', 'aligning', 'aligns']",84
"affiliated","consort.v.01","keep company with; hang out with","verb.social","['affiliated', 'consorting', 'consort', 'consorted']",84
"mastered","master.v.01","be or become completely proficient or skilled in","verb.cognition","['mastered', 'mastering']",83
"blazing","blaze.v.01","shine brightly and intensively","verb.weather","['blazing', 'blazed']",83
"camped","camp.v.01","live in or as if in a tent","verb.stative","['camped', 'encamped', 'tented', 'bivouacked', 'tenting', 'encamp']",83
"unravel","unravel.v.01","become or cause to become undone by separating the fibers or threads of","verb.contact","['unravel', 'unraveling', 'unravels', 'unravelling', 'unravelled', 'unpick']",83
"socialize","socialize.v.01","take part in social activities; interact with others","verb.social","['socialize', 'socializing', 'socialise', 'socialized', 'socialising', 'socializes', 'socialises']",83
"belittle","minimize.v.03","cause to seem less serious; play down","verb.communication","['belittle', 'belittling', 'denigrate', 'belittled', 'belittles', 'denigrates', 'denigrating', 'denigrated', 'derogated']",83
"aggravate","worsen.v.02","make worse","verb.change","['aggravate', 'aggravating', 'aggravates', 'exacerbated', 'exacerbate', 'exacerbates', 'exacerbating']",83
"tweaked","tweak.v.01","pinch or squeeze sharply","verb.contact","['tweaked', 'tweak', 'tweaking']",83
"enacted","ordain.v.01","order by virtue of superior authority; decree","verb.social","['enacted', 'ordained', 'enact', 'ordain', 'enacting', 'ordains']",83
"nurture","foster.v.03","help develop, help grow","verb.communication","['nurture', 'nurtured', 'nurturing', 'nurtures']",83
"barred","bar.v.01","prevent from entering; keep out","verb.communication","['barred', 'barring']",82
"documented","document.v.01","record in detail","verb.communication","['documented', 'documenting']",82
"condone","excuse.v.06","excuse, overlook, or make allowances for; be lenient with","verb.communication","['condone', 'condoned', 'condones', 'condoning']",82
"slugged","slug.v.01","strike heavily, especially with the fist or a bat","verb.contact","['slugged', 'slugging', 'swigging']",82
"crowding","herd.v.01","cause to herd, drive, or crowd together","verb.motion","['crowding', 'herded', 'herding']",82
"prolong","prolong.v.01","lengthen in time; cause to be or last longer","verb.change","['prolong', 'prolonging', 'prolongs']",82
"splashing","sprinkle.v.02","cause (a liquid) to spatter about, especially with force","verb.contact","['splashing', 'splashed', 'splashes']",82
"underlined","underscore.v.01","give extra weight to (a communication)","verb.communication","['underlined', 'underline', 'underscores', 'underlining', 'emphasise', 'emphasising', 'underlines', 'underscore', 'emphasised', 'emphasises', 'underscored']",82
"dehydrated","dehydrate.v.01","preserve by removing all water and liquids from","verb.change","['dehydrated', 'dehydrate', 'dehydrating', 'dehydrates']",81
"moping","mope.v.01","move around slowly and aimlessly","verb.motion","['moping', 'mope']",81
"prosper","thrive.v.02","make steady progress; be at the high point in one's career or reach a high point in historical significance or importance","verb.possession","['prosper', 'prospered', 'prospering', 'prospers']",81
"disengage","disengage.v.01","release from something that holds fast, connects, or entangles","verb.contact","['disengage', 'disengaged', 'disengaging']",81
"floss","floss.v.01","use dental floss to clean","verb.body","['floss', 'flossing', 'flossed', 'flosses']",81
"cramped","cramp.v.01","secure with a cramp","verb.contact","['cramped', 'cramping']",81
"squish","squelch.v.03","walk through mud or mire","verb.motion","['squish', 'squished', 'squishing', 'squishes']",81
"purify","purify.v.01","remove impurities from, increase the concentration of, and separate through the process of distillation","verb.change","['purify', 'purified', 'distill', 'purifying', 'purifies']",81
"castrate","emasculate.v.01","deprive of strength or vigor","verb.change","['castrate', 'castrated', 'emasculating', 'emasculate', 'castrating', 'emasculates']",81
"captivated","capture.v.02","attract; cause to be enamored","verb.emotion","['captivated', 'enamored', 'bewitching', 'entrancing', 'captivate', 'entranced', 'bewitch', 'trancing', 'bewitches', 'captivates', 'enamour']",81
"plastered","plaster.v.01","apply a heavy coat to","verb.contact","['plastered', 'plastering']",80
"toying","dally.v.01","behave carelessly or indifferently","verb.social","['toying', 'toyed', 'dallying', 'dallied']",80
"eavesdrop","listen_in.v.02","listen without the speaker's knowledge","verb.perception","['eavesdrop', 'eavesdropping', 'eavesdropped']",80
"blabbing","spill_the_beans.v.01","divulge confidential information or secrets","verb.communication","['blabbing', 'blab', 'blabbed', 'blabs', 'peached']",80
"sift","sift.v.01","move as if through a sieve","verb.motion","['sift', 'sifting', 'sifted', 'sifts']",80
"crapped","stool.v.04","have a bowel movement","verb.body","['crapped', 'crapping', 'defecate', 'defecated', 'defecating', 'defecates']",80
"mimic","mimic.v.01","imitate (a person or manner), especially for satirical effect","verb.creation","['mimic', 'mimicking', 'mimics', 'miming', 'mimed', 'mimicked']",80
"plunder","loot.v.01","take illegally; of intellectual property","verb.possession","['plunder', 'looted', 'plundered', 'plundering', 'plunders']",80
"pacing","pace.v.01","walk with slow or fast paces","verb.motion","['pacing', 'paced']",79
"skinned","clamber.v.01","climb awkwardly, as if by scrambling","verb.motion","['skinned', 'skinning', 'clambered', 'shinning', 'clamber']",79
"converse","converse.v.01","carry on a conversation","verb.communication","['converse', 'conversing', 'conversed', 'converses']",79
"recounts","tell.v.03","narrate or give a detailed account of","verb.communication","['recounts', 'recount', 'recounting', 'recounted']",79
"detached","detach.v.01","cause to become detached or separated; take off","verb.contact","['detached', 'detach', 'detaching']",79
"extinguish","snuff_out.v.01","put an end to; kill","verb.change","['extinguish', 'extinguished', 'extinguishes', 'extinguishing']",79
"clobbered","clobber.v.01","strike violently and repeatedly","verb.contact","['clobbered', 'clobber', 'clobbering', 'clobbers']",79
"sipping","sip.v.01","drink in sips","verb.consumption","['sipping', 'sipped', 'sipes']",78
"heed","heed.v.01","pay close attention to; give heed to","verb.social","['heed', 'heeded', 'heeding']",78
"rejoin","rejoin.v.01","join again","verb.social","['rejoin', 'rejoined', 'rejoining', 'rejoins']",78
"disapprove","disapprove.v.01","consider bad or wrong","verb.cognition","['disapprove', 'disapproves', 'disapproved']",78
"dawned","click.v.07","become clear or enter one's consciousness or emotions","verb.cognition","['dawned', 'dawns']",78
"clothe","dress.v.02","provide with clothes or put clothes on","verb.body","['clothe', 'clothed', 'clad']",78
"neighing","neigh.v.01","make a characteristic sound, of a horse","verb.communication","['neighing', 'neighs', 'neigh', 'nickering', 'neighed', 'whinnied']",78
"enclose","envelop.v.01","enclose or enfold completely with or as if with a covering","verb.contact","['enclose', 'enveloped', 'enfold', 'enclosing', 'envelop', 'envelops', 'encloses', 'enveloping', 'enfolded', 'enfolding']",78
"racked","single-foot.v.01","go at a rack","verb.motion","['racked', 'racking']",77
"commute","commute.v.01","exchange positions without a change in value","verb.change","['commute', 'commuting', 'commuted', 'commutes']",77
"toasted","crispen.v.01","make brown and crisp by heating","verb.change","['toasted', 'toasting']",77
"enslaved","enslave.v.01","make a slave of; bring into servitude","verb.social","['enslaved', 'enslave', 'enslaving', 'enslaves']",77
"sedated","sedate.v.01","cause to be calm or quiet as by administering a sedative to","verb.body","['sedated', 'sedating']",76
"nicked","nick.v.01","cut slightly, with a razor","verb.contact","['nicked', 'nicking']",76
"peaked","top_out.v.03","to reach the highest point; attain maximum intensity, activity","verb.motion","['peaked', 'peaking']",76
"loitering","loiter.v.01","be about","verb.stative","['loitering', 'tarry', 'tarrying', 'lollygag', 'tarried', 'lallygagging']",76
"signaling","sign.v.05","communicate silently and non-verbally by signals or signs","verb.communication","['signaling', 'signaled', 'signalling', 'signalled']",76
"overtake","overtake.v.01","catch up with and possibly overtake","verb.competition","['overtake', 'overtaken', 'overtook', 'overtaking', 'overtakes']",76
"characterized","qualify.v.06","describe or portray the character or the qualities or peculiarities of","verb.communication","['characterized', 'characterize', 'characterizing', 'characterizes']",76
"eluded","elude.v.01","escape, either physically or mentally","verb.motion","['eluded', 'elude', 'eluding', 'eludes']",76
"dyed","dye.v.01","color with dye","verb.change","['dyed', 'dyeing']",75
"boxed","box.v.01","put into a box","verb.contact","['boxed', 'packaged']",75
"vary","change.v.03","become different in some particular way, without permanently losing one's or its former characteristics or essence","verb.change","['vary', 'varies']",75
"exiting","exit.v.01","move out of or depart from","verb.motion","['exiting', 'exited']",75
"obscured","obscure.v.01","make less visible or unclear","verb.perception","['obscured', 'fogged', 'fogging', 'obscuring', 'obscures', 'becloud']",75
"depict","picture.v.02","show in, or as in, a picture","verb.creation","['depict', 'depicted', 'depicting', 'depicts']",75
"blurt","blurt_out.v.01","utter impulsively","verb.communication","['blurt', 'ejaculate', 'blurted', 'ejaculated', 'blurting', 'blurts', 'ejaculates', 'ejaculating']",75
"grooming","prepare.v.05","educate for a future role or function","verb.social","['grooming', 'groomed']",74
"overturned","overturn.v.01","turn from an upright or normal position","verb.motion","['overturned', 'overturn', 'overturns', 'overturning']",74
"nabbed","nab.v.01","tag the base runner to get him out","verb.contact","['nabbed', 'nab', 'nabs', 'nabbing']",74
"easing","ease.v.01","move gently or carefully","verb.motion","['easing', 'eased', 'eases']",74
"overpower","overpower.v.01","overcome by superior force","verb.competition","['overpower', 'overpowered', 'overpowering', 'overpowers', 'overmastering']",74
"scorched","sear.v.01","make very hot and dry","verb.change","['scorched', 'scorch', 'scorching', 'seared', 'sear', 'scorches']",74
"checkmate","checkmate.v.01","place an opponent's king under an attack from which it cannot escape and thus ending the game","verb.competition","['checkmate']",73
"stocked","stock.v.01","have on hand","verb.possession","['stocked', 'stockpiling', 'stockpiled']",73
"facilitate","facilitate.v.01","make easier","verb.change","['facilitate', 'facilitated', 'facilitating', 'facilitates']",73
"contend","contend.v.01","maintain or assert","verb.communication","['contend', 'contends', 'contended', 'postulate', 'postulated', 'postulating', 'postulates']",73
"topped","exceed.v.02","be superior or better than some standard","verb.stative","['topped', 'topping']",73
"disrespecting","disrespect.v.01","show a lack of respect for","verb.social","['disrespecting', 'disrespected', 'disrespects']",73
"ravaged","harry.v.02","make a pillaging or destructive raid on (a place), as in wartimes","verb.change","['ravaged', 'ravage', 'ravaging']",73
"wield","wield.v.01","have and exercise","verb.possession","['wield', 'wielding', 'wields', 'wielded']",73
"alienated","estrange.v.02","arouse hostility or indifference in where there had formerly been love, affection, or friendliness","verb.emotion","['alienated', 'alienate', 'alienating']",73
"outgrown","outgrow.v.01","grow too large or too mature for","verb.change","['outgrown', 'outgrow', 'outgrew', 'outgrows', 'outgrowing']",73
"leveled","level.v.01","aim at","verb.competition","['leveled', 'leveling', 'levelled', 'levelling']",73
"sniffling","snivel.v.03","cry or whine with snuffling","verb.body","['sniffling', 'blubbering', 'sniffles', 'blubbing', 'blub', 'blubbed', 'blubbered', 'blubs', 'sniffled']",73
"orbiting","orb.v.01","move in an orbit","verb.motion","['orbiting', 'orbed', 'orbing', 'orbited']",73
"prod","nudge.v.01","to push against gently","verb.contact","['prod', 'prodded', 'nudging', 'prodding', 'nudged', 'nudges']",73
"swarming","teem.v.01","be teeming, be abuzz","verb.stative","['swarming', 'swarmed', 'teems', 'teem']",72
"orchestrated","orchestrate.v.01","write an orchestra score for","verb.creation","['orchestrated', 'orchestrate', 'orchestrating', 'orchestrates']",72
"paved","pave.v.01","cover with a material such as stone or concrete to make suitable for vehicle traffic","verb.contact","['paved', 'pave', 'paving', 'paves']",72
"pawned","pawn.v.01","leave as a guarantee in return for money","verb.possession","['pawned', 'hocked', 'hocking', 'pawning']",72
"scour","scour.v.01","examine minutely","verb.contact","['scour', 'scouring', 'scoured', 'scours']",72
"redoing","remake.v.01","make new","verb.creation","['redoing', 'remake', 'remade', 'remaking', 'refashioning', 'remakes']",72
"snowboarding","snowboard.v.01","glide down a snow-covered slope while standing on a board","verb.motion","['snowboarding']",71
"exhales","exhale.v.01","expel air","verb.body","['exhales', 'exhaling', 'exhaled']",71
"aspire","draw_a_bead_on.v.02","have an ambitious plan or a lofty goal","verb.cognition","['aspire', 'aspired', 'aspires']",71
"bucking","buck.v.01","to strive with determination","verb.social","['bucking', 'bucked']",71
"faxed","fax.v.01","send something via a facsimile machine","verb.communication","['faxed', 'faxing']",71
"assert","assert.v.01","state categorically","verb.communication","['assert', 'asserting', 'asserts', 'asserted']",71
"gagged","gag.v.01","prevent from speaking out","verb.perception","['gagged', 'gagging']",71
"hounding","hound.v.01","pursue or chase relentlessly","verb.motion","['hounding', 'hounded']",71
"browsing","shop.v.03","shop around; not necessarily buying","verb.possession","['browsing', 'browse']",71
"clouded","overcast.v.01","make overcast or cloudy","verb.weather","['clouded', 'clouding']",71
"scribbled","scribble.v.01","write down quickly without much attention to detail","verb.communication","['scribbled', 'scribbling', 'scribble', 'scribbles']",71
"hospitalized","hospitalize.v.01","admit into a hospital","verb.possession","['hospitalized', 'hospitalised', 'hospitalize', 'hospitalise', 'hospitalizing']",70
"ratted","rat.v.01","desert one's party or group of friends, for example, for one's personal advantage","verb.social","['ratted', 'ratting']",70
"broaden","broaden.v.01","make broader","verb.change","['broaden', 'broadening', 'broadened', 'broadens']",70
"ascend","ascend.v.01","travel up, ""We ascended the mountain""","verb.motion","['ascend', 'ascended', 'ascends']",70
"refuel","refuel.v.01","provide with additional fuel, as of aircraft, ships, and cars","verb.possession","['refuel', 'refueling', 'refueled', 'refuelling', 'refuelled']",70
"widen","widen.v.01","become broader or wider or more extensive","verb.change","['widen', 'widening', 'widened', 'widens']",70
"coax","wheedle.v.01","influence or urge by gentle urging, caressing, or flattering","verb.communication","['coax', 'coaxed', 'coaxing', 'cajoling', 'wheedle', 'cajoled', 'coaxes', 'inveigles', 'wheedled', 'wheedles']",70
"soiled","dirty.v.01","make soiled, filthy, or dirty","verb.contact","['soiled', 'dirtied', 'soiling', 'dirtying', 'soils', 'dirties', 'begrimed']",70
"concede","concede.v.01","admit (to a wrongdoing)","verb.communication","['concede', 'conceded', 'conceding', 'concedes']",69
"rumored","rumor.v.01","tell or spread rumors","verb.communication","['rumored', 'rumoured']",69
"smeared","smear.v.01","stain by smearing or daubing with a dirty substance","verb.contact","['smeared', 'smearing', 'smears']",69
"covet","covet.v.01","wish, long, or crave for (something, especially the property of another person)","verb.emotion","['covet', 'coveting', 'covets']",69
"exhibited","exhibit.v.01","show an attribute, property, knowledge, or skill","verb.stative","['exhibited', 'exhibiting']",69
"bickering","quibble.v.02","argue over petty things","verb.communication","['bickering', 'bicker', 'squabbling', 'bickered']",69
"erupted","erupt.v.01","start abruptly","verb.change","['erupted', 'erupt', 'erupts', 'erupting']",69
"heated","heat.v.01","make hot or hotter","verb.change","['heated']",68
"saddled","saddle.v.01","put a saddle on","verb.contact","['saddled', 'saddling']",68
"confound","confuse.v.02","be confusing or perplexing to; cause to be unable to think clearly","verb.cognition","['confound', 'confounds', 'confounding', 'befuddling']",68
"beamed","beam.v.01","smile radiantly; express joy through one's facial expression","verb.body","['beamed', 'beaming']",68
"mapped","map.v.01","make a map of; show or establish the features of details of","verb.creation","['mapped', 'mapping']",68
"unzip","unzip.v.01","open the zipper of","verb.contact","['unzip', 'unzipped', 'unzips', 'unzipping']",68
"authenticated","authenticate.v.01","establish the authenticity of something","verb.cognition","['authenticated', 'authenticate', 'authenticating']",68
"waltzing","waltz.v.01","dance a waltz","verb.motion","['waltzing', 'waltzed', 'waltzes']",68
"hone","hone.v.01","sharpen with a hone","verb.contact","['hone', 'honed', 'honing', 'hones']",68
"patting","chuck.v.03","pat or squeeze fondly or playfully, especially under the chin","verb.contact","['patting', 'patted', 'pats']",68
"disfigured","deface.v.01","mar or spoil the appearance of","verb.contact","['disfigured', 'defaced', 'defacing', 'deface', 'disfiguring', 'disfigure', 'disfigures', 'blemished', 'defaces']",68
"intercede","intercede.v.01","act between parties with a view to reconciling differences","verb.communication","['intercede', 'mediate', 'liaise', 'interceded', 'intercedes', 'mediating', 'arbitrate', 'mediated', 'arbitrates', 'interceding', 'liaising']",68
"slumped","slump.v.01","assume a drooping posture or carriage","verb.motion","['slumped', 'slouch', 'slouching', 'slumping', 'slumps', 'slouched', 'slouches']",68
"commissioned","commission.v.01","put into commission; equip for service; of ships","verb.social","['commissioned', 'commissioning']",67
"parading","parade.v.01","walk ostentatiously","verb.motion","['parading', 'paraded']",67
"bop","bop.v.01","dance the bebop","verb.motion","['bop', 'bopping', 'bopped', 'bops']",67
"harboring","harbor.v.01","maintain (a theory, thoughts, or feelings)","verb.emotion","['harboring', 'harbored']",67
"clogged","clog.v.01","become or cause to become obstructed","verb.contact","['clogged', 'clogging']",67
"coincide","coincide.v.01","go with, fall together","verb.stative","['coincide', 'coincides', 'coincided', 'coinciding']",67
"eyeing","eye.v.01","look at","verb.perception","['eyeing', 'eyeballing', 'eyeballed', 'eyess']",67
"chirping","peep.v.03","make high-pitched sounds","verb.communication","['chirping', 'chirp', 'chirps', 'cheep', 'cheeping', 'chirrup']",67
"traumatized","traumatize.v.01","inflict a trauma upon","verb.body","['traumatized', 'traumatize', 'traumatised', 'traumatizing', 'traumatise', 'traumatises', 'traumatizes']",67
"rapping","rap.v.01","strike sharply","verb.contact","['rapping', 'raps', 'rapped']",67
"hyperventilating","hyperventilate.v.01","produce hyperventilation in","verb.body","['hyperventilating', 'hyperventilate', 'hyperventilates', 'hyperventilated']",67
"gawking","goggle.v.01","look with amazement; look stupidly","verb.perception","['gawking', 'gawk', 'goggle', 'gawked', 'gape', 'goggling', 'gapes', 'gawp', 'gawping']",67
"encrypted","code.v.02","convert ordinary language into code","verb.communication","['encrypted', 'encrypt', 'ciphering', 'encrypting']",66
"overslept","oversleep.v.01","sleep longer than intended","verb.body","['overslept', 'oversleep', 'oversleeping']",66
"aired","air_out.v.01","expose to fresh air","verb.perception","['aired', 'airing', 'aerate', 'aerating']",66
"shudder","shiver.v.02","shake, as from cold","verb.body","['shudder', 'shuddering', 'shudders', 'shuddered']",66
"fiddling","fiddle.v.01","avoid (one's assigned duties)","verb.social","['fiddling', 'shirk', 'fiddled', 'shirking', 'shirked']",66
"succumbed","yield.v.13","consent reluctantly","verb.communication","['succumbed', 'succumb', 'succumbing', 'succumbs']",66
"wagging","wag.v.01","move from side to side","verb.motion","['wagging', 'wag', 'waggle', 'wagged', 'waggling', 'waggled']",66
"cheerleading","cheerlead.v.01","act as a cheerleader in a sports event","verb.communication","['cheerleading']",65
"dislocated","dislocate.v.01","move out of position","verb.change","['dislocated', 'dislocate', 'dislocates']",65
"discredit","discredit.v.01","cause to be distrusted or disbelieved","verb.cognition","['discredit', 'discredited', 'discrediting', 'discredits']",65
"roped","lasso.v.01","catch with a lasso","verb.contact","['roped', 'roping', 'lassoed', 'lassoing']",65
"rammed","ram.v.01","strike or drive against with a heavy impact","verb.contact","['rammed', 'ramming']",65
"revel","delight.v.02","take delight in","verb.consumption","['revel', 'revels', 'reveling', 'reveled', 'revelled', 'revelling']",65
"regulate","regulate.v.01","fix or adjust the time, amount, degree, or rate of","verb.change","['regulate', 'regulated', 'regulating', 'regulates']",65
"hinting","hint.v.01","drop a hint; intimate by a hint","verb.communication","['hinting', 'hinted']",65
"boning","cram.v.03","study intensively, as before an exam","verb.cognition","['boning', 'boned', 'swotting']",65
"sterilized","sterilize.v.01","make free from bacteria","verb.body","['sterilized', 'sterilize', 'sterilising', 'sterilizes', 'sterilizing', 'sterilised']",65
"incur","incur.v.01","make oneself subject to; bring upon oneself; become liable to","verb.stative","['incur', 'incurred', 'incurring', 'incurs']",65
"evaporate","evaporate.v.01","lose or cause to lose liquid by vaporization leaving a more concentrated residue","verb.change","['evaporate', 'evaporated', 'evaporating', 'evaporates']",65
"benefited","profit.v.01","derive a benefit from","verb.possession","['benefited', 'profiting', 'profited', 'benefiting', 'benefitted']",65
"glorify","laud.v.01","praise, glorify, or honor","verb.communication","['glorify', 'glorifying', 'exalt', 'exalting', 'exalts', 'laud', 'extol', 'extolled', 'extolling', 'glorifies', 'lauded', 'extols', 'lauding']",65
"consented","accept.v.03","give an affirmative reply to; respond favorably to","verb.communication","['consented']",64
