SID,Cue,Character,Category,Recall
SID000791,CoachTaylor,JasonStreet,Character,3
SID000791,CoachTaylor,JulieTaylor,Character,4
SID000791,CoachTaylor,LandryClarke,Character,0
SID000791,CoachTaylor,LylaGarrity,Character,0
SID000791,CoachTaylor,MattSaracen,Character,2
SID000791,CoachTaylor,SmashWilliams,Character,6
SID000791,CoachTaylor,TamiTaylor,Character,1
SID000791,CoachTaylor,TimRiggins,Character,0
SID000791,CoachTaylor,TyraCollette,Character,0
SID000791,Diner,BuddyGarrity,Place,0
SID000791,Diner,CoachTaylor,Place,1
SID000791,Diner,JasonStreet,Place,0
SID000791,Diner,JulieTaylor,Place,2
SID000791,Diner,LandryClarke,Place,5
SID000791,Diner,LylaGarrity,Place,0
SID000791,Diner,MattSaracen,Place,4
SID000791,Diner,SmashWilliams,Place,3
SID000791,Diner,TamiTaylor,Place,0
SID000791,Diner,TimRiggins,Place,0
SID000791,Diner,TyraCollette,Place,0
SID000791,Ethical,BuddyGarrity,Trait,2
SID000791,Ethical,CoachTaylor,Trait,1
SID000791,Ethical,JasonStreet,Trait,0
SID000791,Ethical,JulieTaylor,Trait,0
SID000791,Ethical,LandryClarke,Trait,0
SID000791,Ethical,LylaGarrity,Trait,3
SID000791,Ethical,MattSaracen,Trait,4
SID000791,Ethical,SmashWilliams,Trait,0
SID000791,Ethical,TamiTaylor,Trait,0
SID000791,Ethical,TimRiggins,Trait,0
SID000791,Ethical,TyraCollette,Trait,0
SID000791,FightArgue,BuddyGarrity,Action,5
SID000791,FightArgue,CoachTaylor,Action,3
SID000791,FightArgue,JasonStreet,Action,7
SID000791,FightArgue,JulieTaylor,Action,0
SID000791,FightArgue,LandryClarke,Action,0
SID000791,FightArgue,LylaGarrity,Action,6
SID000791,FightArgue,MattSaracen,Action,0
SID000791,FightArgue,SmashWilliams,Action,8
SID000791,FightArgue,TamiTaylor,Action,4
SID000791,FightArgue,TimRiggins,Action,2
SID000791,FightArgue,TyraCollette,Action,1
SID000791,Flirt,BuddyGarrity,Action,0
SID000791,Flirt,CoachTaylor,Action,0
SID000791,Flirt,JasonStreet,Action,0
SID000791,Flirt,JulieTaylor,Action,2
SID000791,Flirt,LandryClarke,Action,0
SID000791,Flirt,LylaGarrity,Action,4
SID000791,Flirt,MattSaracen,Action,3
SID000791,Flirt,SmashWilliams,Action,0
SID000791,Flirt,TamiTaylor,Action,0
SID000791,Flirt,TimRiggins,Action,5
SID000791,Flirt,TyraCollette,Action,1
SID000791,FootballStadium,BuddyGarrity,Place,1
SID000791,FootballStadium,CoachTaylor,Place,2
SID000791,FootballStadium,JasonStreet,Place,3
SID000791,FootballStadium,JulieTaylor,Place,0
SID000791,FootballStadium,LandryClarke,Place,0
SID000791,FootballStadium,LylaGarrity,Place,0
SID000791,FootballStadium,MattSaracen,Place,4
SID000791,FootballStadium,SmashWilliams,Place,5
SID000791,FootballStadium,TamiTaylor,Place,0
SID000791,FootballStadium,TimRiggins,Place,0
SID000791,FootballStadium,TyraCollette,Place,0
SID000791,Gossip,BuddyGarrity,Action,0
SID000791,Gossip,CoachTaylor,Action,0
SID000791,Gossip,JasonStreet,Action,0
SID000791,Gossip,JulieTaylor,Action,0
SID000791,Gossip,LandryClarke,Action,0
SID000791,Gossip,LylaGarrity,Action,2
SID000791,Gossip,MattSaracen,Action,0
SID000791,Gossip,SmashWilliams,Action,0
SID000791,Gossip,TamiTaylor,Action,1
SID000791,Gossip,TimRiggins,Action,3
SID000791,Gossip,TyraCollette,Action,0
SID000791,Hardworking,BuddyGarrity,Trait,0
SID000791,Hardworking,CoachTaylor,Trait,1
SID000791,Hardworking,JasonStreet,Trait,3
SID000791,Hardworking,JulieTaylor,Trait,0
SID000791,Hardworking,LandryClarke,Trait,0
SID000791,Hardworking,LylaGarrity,Trait,0
SID000791,Hardworking,MattSaracen,Trait,2
SID000791,Hardworking,SmashWilliams,Trait,0
SID000791,Hardworking,TamiTaylor,Trait,4
SID000791,Hardworking,TimRiggins,Trait,0
SID000791,Hardworking,TyraCollette,Trait,0
SID000791,Home,BuddyGarrity,Place,4
SID000791,Home,CoachTaylor,Place,1
SID000791,Home,JasonStreet,Place,0
SID000791,Home,JulieTaylor,Place,0
SID000791,Home,LandryClarke,Place,0
SID000791,Home,LylaGarrity,Place,3
SID000791,Home,MattSaracen,Place,5
SID000791,Home,SmashWilliams,Place,0
SID000791,Home,TamiTaylor,Place,2
SID000791,Home,TimRiggins,Place,0
SID000791,Home,TyraCollette,Place,0
SID000791,Hospital,BuddyGarrity,Place,0
SID000791,Hospital,CoachTaylor,Place,4
SID000791,Hospital,JasonStreet,Place,1
SID000791,Hospital,JulieTaylor,Place,0
SID000791,Hospital,LandryClarke,Place,0
SID000791,Hospital,LylaGarrity,Place,2
SID000791,Hospital,MattSaracen,Place,0
SID000791,Hospital,SmashWilliams,Place,0
SID000791,Hospital,TamiTaylor,Place,0
SID000791,Hospital,TimRiggins,Place,3
SID000791,Hospital,TyraCollette,Place,0
SID000791,Influential,BuddyGarrity,Trait,2
SID000791,Influential,CoachTaylor,Trait,1
SID000791,Influential,JasonStreet,Trait,0
SID000791,Influential,JulieTaylor,Trait,0
SID000791,Influential,LandryClarke,Trait,0
SID000791,Influential,LylaGarrity,Trait,0
SID000791,Influential,MattSaracen,Trait,4
SID000791,Influential,SmashWilliams,Trait,5
SID000791,Influential,TamiTaylor,Trait,3
SID000791,Influential,TimRiggins,Trait,0
SID000791,Influential,TyraCollette,Trait,0
SID000791,JasonStreet,BuddyGarrity,Character,0
SID000791,JasonStreet,CoachTaylor,Character,4
SID000791,JasonStreet,JasonStreet,Character,0
SID000791,JasonStreet,JulieTaylor,Character,0
SID000791,JasonStreet,LandryClarke,Character,0
SID000791,JasonStreet,LylaGarrity,Character,1
SID000791,JasonStreet,MattSaracen,Character,3
SID000791,JasonStreet,SmashWilliams,Character,5
SID000791,JasonStreet,TamiTaylor,Character,0
SID000791,JasonStreet,TimRiggins,Character,2
SID000791,JasonStreet,TyraCollette,Character,0
SID000791,JulieTaylor,BuddyGarrity,Character,0
SID000791,JulieTaylor,CoachTaylor,Character,1
SID000791,JulieTaylor,JasonStreet,Character,0
SID000791,JulieTaylor,JulieTaylor,Character,0
SID000791,JulieTaylor,LandryClarke,Character,0
SID000791,JulieTaylor,LylaGarrity,Character,0
SID000791,JulieTaylor,MattSaracen,Character,3
SID000791,JulieTaylor,SmashWilliams,Character,0
SID000791,JulieTaylor,TamiTaylor,Character,2
SID000791,JulieTaylor,TimRiggins,Character,0
SID000791,JulieTaylor,TyraCollette,Character,0
SID000791,LandryClarke,BuddyGarrity,Character,0
SID000791,LandryClarke,CoachTaylor,Character,0
SID000791,LandryClarke,JasonStreet,Character,0
SID000791,LandryClarke,JulieTaylor,Character,0
SID000791,LandryClarke,LandryClarke,Character,0
SID000791,LandryClarke,LylaGarrity,Character,0
SID000791,LandryClarke,MattSaracen,Character,1
SID000791,LandryClarke,SmashWilliams,Character,0
SID000791,LandryClarke,TamiTaylor,Character,0
SID000791,LandryClarke,TimRiggins,Character,0
SID000791,LandryClarke,TyraCollette,Character,0
SID000791,LylaGarrity,BuddyGarrity,Character,2
SID000791,LylaGarrity,CoachTaylor,Character,0
SID000791,LylaGarrity,JasonStreet,Character,1
SID000791,LylaGarrity,JulieTaylor,Character,0
SID000791,LylaGarrity,LandryClarke,Character,0
SID000791,LylaGarrity,LylaGarrity,Character,0
SID000791,LylaGarrity,MattSaracen,Character,0
SID000791,LylaGarrity,SmashWilliams,Character,0
SID000791,LylaGarrity,TamiTaylor,Character,0
SID000791,LylaGarrity,TimRiggins,Character,0
SID000791,LylaGarrity,TyraCollette,Character,0
SID000791,MattSaracen,BuddyGarrity,Character,0
SID000791,MattSaracen,CoachTaylor,Character,2
SID000791,MattSaracen,JasonStreet,Character,3
SID000791,MattSaracen,JulieTaylor,Character,1
SID000791,MattSaracen,LandryClarke,Character,5
