Subject,Content,Character,Mention
s05,MattSaracen,LandryClarke,0
s05,MattSaracen,LylaGarrity,0
s05,MattSaracen,MattSaracen,0
s05,MattSaracen,SmashWilliams,0
s05,MattSaracen,TamiTaylor,0
s05,MattSaracen,TimRiggins,0
s05,MattSaracen,TyraCollette,0
s05,SmashWilliams,BuddyGarrity,0
s05,SmashWilliams,CoachTaylor,1
s05,SmashWilliams,JasonStreet,1
s05,SmashWilliams,JulieTaylor,0
s05,SmashWilliams,LandryClarke,0
s05,SmashWilliams,LylaGarrity,0
s05,SmashWilliams,MattSaracen,0
s05,SmashWilliams,SmashWilliams,0
s05,SmashWilliams,TamiTaylor,0
s05,SmashWilliams,TimRiggins,1
s05,SmashWilliams,TyraCollette,1
s05,TamiTaylor,BuddyGarrity,0
s05,TamiTaylor,CoachTaylor,1
s05,TamiTaylor,JasonStreet,0
s05,TamiTaylor,JulieTaylor,1
s05,TamiTaylor,LandryClarke,0
s05,TamiTaylor,LylaGarrity,0
s05,TamiTaylor,MattSaracen,0
s05,TamiTaylor,SmashWilliams,0
s05,TamiTaylor,TamiTaylor,0
s05,TamiTaylor,TimRiggins,0
s05,TamiTaylor,TyraCollette,0
s05,TimRiggins,BuddyGarrity,0
s05,TimRiggins,CoachTaylor,0
s05,TimRiggins,JasonStreet,1
s05,TimRiggins,JulieTaylor,0
s05,TimRiggins,LandryClarke,0
s05,TimRiggins,LylaGarrity,1
s05,TimRiggins,MattSaracen,0
s05,TimRiggins,SmashWilliams,0
s05,TimRiggins,TamiTaylor,0
s05,TimRiggins,TimRiggins,0
s05,TimRiggins,TyraCollette,1
s05,TyraCollette,BuddyGarrity,0
s05,TyraCollette,CoachTaylor,0
s05,TyraCollette,JasonStreet,1
s05,TyraCollette,JulieTaylor,0
s05,TyraCollette,LandryClarke,0
s05,TyraCollette,LylaGarrity,1
s05,TyraCollette,MattSaracen,0
s05,TyraCollette,SmashWilliams,1
s05,TyraCollette,TamiTaylor,0
s05,TyraCollette,TimRiggins,1
s05,TyraCollette,TyraCollette,0
s06,BuddyGarrity,BuddyGarrity,0
s06,BuddyGarrity,CoachTaylor,1
s06,BuddyGarrity,JasonStreet,1
s06,BuddyGarrity,JulieTaylor,0
s06,BuddyGarrity,LandryClarke,0
s06,BuddyGarrity,LylaGarrity,1
s06,BuddyGarrity,MattSaracen,0
s06,BuddyGarrity,SmashWilliams,0
s06,BuddyGarrity,TamiTaylor,0
s06,BuddyGarrity,TimRiggins,0
s06,BuddyGarrity,TyraCollette,0
s06,CoachTaylor,BuddyGarrity,0
s06,CoachTaylor,CoachTaylor,0
s06,CoachTaylor,JasonStreet,1
s06,CoachTaylor,JulieTaylor,1
s06,CoachTaylor,LandryClarke,0
s06,CoachTaylor,LylaGarrity,0
s06,CoachTaylor,MattSaracen,0
s06,CoachTaylor,SmashWilliams,0
s06,CoachTaylor,TamiTaylor,1
s06,CoachTaylor,TimRiggins,0
s06,CoachTaylor,TyraCollette,0
s06,JasonStreet,BuddyGarrity,0
s06,JasonStreet,CoachTaylor,1
s06,JasonStreet,JasonStreet,0
s06,JasonStreet,JulieTaylor,0
s06,JasonStreet,LandryClarke,0
s06,JasonStreet,LylaGarrity,1
s06,JasonStreet,MattSaracen,0
s06,JasonStreet,SmashWilliams,0
s06,JasonStreet,TamiTaylor,0
s06,JasonStreet,TimRiggins,0
s06,JasonStreet,TyraCollette,0
s06,JulieTaylor,BuddyGarrity,0
s06,JulieTaylor,CoachTaylor,1
s06,JulieTaylor,JasonStreet,0
s06,JulieTaylor,JulieTaylor,0
s06,JulieTaylor,LandryClarke,0
s06,JulieTaylor,LylaGarrity,0
s06,JulieTaylor,MattSaracen,0
s06,JulieTaylor,SmashWilliams,0
s06,JulieTaylor,TamiTaylor,1
s06,JulieTaylor,TimRiggins,0
s06,JulieTaylor,TyraCollette,0
s06,LandryClarke,BuddyGarrity,0
s06,LandryClarke,CoachTaylor,1
s06,LandryClarke,JasonStreet,1
s06,LandryClarke,JulieTaylor,1
s06,LandryClarke,LandryClarke,0
s06,LandryClarke,LylaGarrity,0
s06,LandryClarke,MattSaracen,1
s06,LandryClarke,SmashWilliams,0
s06,LandryClarke,TamiTaylor,0
s06,LandryClarke,TimRiggins,0
s06,LandryClarke,TyraCollette,0
s06,LylaGarrity,BuddyGarrity,0
s06,LylaGarrity,CoachTaylor,0
s06,LylaGarrity,JasonStreet,1
s06,LylaGarrity,JulieTaylor,0
s06,LylaGarrity,LandryClarke,0
s06,LylaGarrity,LylaGarrity,0
s06,LylaGarrity,MattSaracen,0
s06,LylaGarrity,SmashWilliams,0
s06,LylaGarrity,TamiTaylor,0
s06,LylaGarrity,TimRiggins,1
s06,LylaGarrity,TyraCollette,0
s06,MattSaracen,BuddyGarrity,0
s06,MattSaracen,CoachTaylor,1
s06,MattSaracen,JasonStreet,1
s06,MattSaracen,JulieTaylor,1
s06,MattSaracen,LandryClarke,0
s06,MattSaracen,LylaGarrity,0
s06,MattSaracen,MattSaracen,0
s06,MattSaracen,SmashWilliams,0
s06,MattSaracen,TamiTaylor,0
s06,MattSaracen,TimRiggins,0
s06,MattSaracen,TyraCollette,0
s06,SmashWilliams,BuddyGarrity,0
s06,SmashWilliams,CoachTaylor,1
s06,SmashWilliams,JasonStreet,1
s06,SmashWilliams,JulieTaylor,0
s06,SmashWilliams,LandryClarke,0
